,frequency_findinginfo,search_volume_findinginfo,Anxiety,change_plan,effect_change_plan,selfdefence_item_search,selfdefence_item_type,selfdefence_item_purchase,selfdefence_item_purchase_period,selfdefence_item_purchase_present,selfdefence_item_purchase_present_period,selfdefence_item_friend,selfdefence_item_security,selfdefence_item_permission,selfdefence_item_self_defence,sex,age,residence,job,have_children,household
0,1,2,4,0,,0,(검색해보지 않았다),0,,0,,0,3,0,0,1,21,서울시 성북구,1,0,0
1,2,3,4,0,3.0,1,경보기,0,,0,,1,2,0,2,1,24,경기도 고양시 일산서구,1,0,1
2,3,2,3,0,,0,(검색해보지 않았다),0,,0,,2,3,1,2,1,22,강원도 원주시,1,0,1
3,3,4,5,1,5.0,1,호신용 스프레이,0,,0,,3,2,1,2,1,25,경기도 성남시 분당구,1,0,1
4,3,3,2,0,3.0,0,(검색해보지 않았다),0,,0,,0,2,2,2,0,25,경기도 성남시 수정구,1,0,1
5,2,2,3,0,,0,(검색해보지 않았다),0,,0,,0,2,0,0,0,21,서울 성북구 안암동,1,0,0
6,3,2,3,0,,1,"호신용 스프레이, 삼단봉",0,,0,,1,3,0,0,1,26,경기도 부천시,2,0,1
7,3,4,3,1,2.0,1,"호신용 스프레이, 삼단봉",0,,0,,0,2,1,1,1,19,강원도 원주시 단계동,1,0,1
8,3,4,5,0,,1,호신용 스프레이,1,21.0,1,21.0,0,3,2,2,1,20,경기도 안양시 동안구,1,0,1
9,2,2,3,0,,0,(검색해보지 않았다),0,,0,,0,3,1,2,0,34,서울시 서대문구,1,0,1
10,2,2,3,0,,0,(검색해보지 않았다),0,,0,,0,2,0,2,1,22,경기도 시흥시 연성지구,1,0,1
11,2,3,3,0,,0,(검색해보지 않았다),0,,1,30.0,0,2,0,2,1,24,서울시 도봉구,1,0,1
12,3,4,5,1,5.0,1,"호신용 스프레이, 방검복",0,,0,,2,3,2,2,0,20,서울시 강서구,1,0,1
13,2,3,3,0,,1,삼단봉,0,,0,,3,3,1,1,0,25,강원도 원주시,2,0,0
14,3,4,5,1,2.0,0,"(검색해보지 않았다),",0,,0,,0,2,0,0,1,19,경기도 성남시 분당구,1,0,1
15,2,3,3,1,2.0,0,(검색해보지 않았다),0,,0,,0,2,2,0,0,26,인천광역시 부평구,2,0,1
16,2,4,3,1,3.0,0,(검색해보지 않았다),0,,0,,0,2,2,2,1,25,강원도 원주시,1,0,0
17,2,3,5,0,,0,(검색해보지 않았다),0,,0,,0,3,0,0,1,21,경기도 광주시,1,0,1
18,3,3,4,1,2.0,1,"호신용 스프레이, 가스총",0,,0,,0,3,0,0,1,21,경기도 광주시 삼동,1,0,1
19,2,3,4,1,3.0,1,호신용 스프레이,1,30.0,0,,0,3,0,2,1,22,경기도 의정부시,1,0,1
20,3,4,5,1,4.0,1,"호신용 스프레이, 삼단봉, 방검복",0,,0,,2,2,0,2,0,27,서울시 관악구 신림동,1,0,1
21,3,4,5,1,2.0,1,"호신용 스프레이, 경보기",0,,0,,2,3,2,2,1,26,대구시 수성구,4,0,1
22,3,3,4,0,,1,"호신용 스프레이, 삼단봉, 너클",0,,0,,0,4,2,2,0,23,경기도 고양시 일산서구,1,0,1
23,3,5,4,1,3.0,0,(검색해보지 않았다),0,,0,,1,4,2,0,1,23,서울특별시 도봉구,1,0,1
24,1,1,3,0,,0,(검색해보지 않았다),0,,0,,0,3,0,0,1,26,인천광역시 부평구,2,0,1
25,3,4,4,1,4.0,1,"호신용 스프레이, 삼단봉, 방검복",0,,0,,0,3,0,0,1,22,경기도 오산시,1,0,1
26,1,3,4,0,,0,(검색해보지 않았다),0,,0,,0,4,0,0,0,50,경기도 수원시 권선구,2,1,1
27,2,4,4,0,,1,방검복,0,,0,,0,3,0,0,0,26,서울시 송파구 삼전동,1,0,1
28,2,1,3,0,,0,(검색해보지 않았다),0,,0,,0,3,0,2,0,18,서울시 금천구,0,0,1
29,2,3,3,0,,1,"호신용 스프레이, 삼단봉",0,,0,,0,4,2,2,0,25,서울특별시 영등포구,1,0,1
30,1,1,2,0,,0,(검색해보지 않았다),0,,0,,0,2,0,0,1,23,부산광역시 사하구,1,0,1
31,1,1,1,1,2.0,0,(검색해보지 않았다),0,,0,,0,3,2,0,0,21,경상북도 포항시 남구,1,0,1
32,3,5,4,1,3.0,1,"호신용 스프레이, 삼단봉",1,21.0,1,21.0,0,2,1,1,1,23,대전 대덕구,1,0,1
33,3,5,2,0,,0,(검색해보지 않았다),0,,0,,0,1,0,2,0,25,서울시 은평구,1,0,1
34,3,5,5,1,5.0,1,호신용 스프레이,0,,0,,0,2,0,0,1,23,서울시 중랑구,1,0,1
35,3,4,5,1,5.0,1,방검복,0,,0,,0,5,0,0,0,21,성남시 분당구 서현동 효자촌,1,0,1
36,3,4,5,1,3.0,0,(검색해보지 않았다),0,,0,,0,5,0,0,0,20,경기도 오산시,1,0,1
37,3,5,5,1,4.0,1,호신용 스프레이,1,21.0,0,,3,4,1,1,1,24,서울시 도봉구,1,0,1
38,2,2,3,0,1.0,0,(검색해보지 않았다),0,,0,,0,4,2,2,0,23,서울 서대문구,1,0,1
39,1,1,3,0,3.0,0,(검색해보지 않았다),0,,0,,0,1,2,2,1,20,경기 고양시 일산서구,1,0,1
40,2,3,2,1,2.0,0,검색안함,0,,0,,0,2,2,2,0,30,서울시 강서구,1,0,1
41,2,1,2,0,,0,(검색해보지 않았다),0,,0,,0,2,0,2,0,31,서울시 서대문구,1,0,0
42,3,4,4,1,5.0,0,(검색해보지 않았다),0,,0,,0,2,0,0,1,20,인천광역시 연수구,1,0,1
43,3,4,5,1,2.0,0,(검색해보지 않았다),0,,0,,0,2,1,2,1,20,세종시 조치원 신안리,1,0,0
44,3,4,4,0,,0,(검색해보지 않았다),0,,0,,0,3,0,2,1,23,서울특별시 서대문구,1,0,0
45,2,1,1,0,,0,(검색해보지 않았다),0,,0,,0,1,0,2,0,21,경기도 화성시 동탄6동,1,0,0
46,3,4,3,0,,1,호신용 스프레이,0,,0,,0,4,1,2,1,25,서울시 강남구,1,0,1
47,1,1,3,1,4.0,1,"호신용 스프레이, 삼단봉",0,,0,,3,4,0,2,1,22,서울특별시 노원구,1,0,1
48,3,5,5,1,,1,"호신용 스프레이, 삼단봉",0,,0,,0,1,1,1,1,22,인천광역시 남동구 구월동,1,0,0
49,3,4,5,1,5.0,1,"호신용 스프레이, 삼단봉, 가스총",0,,0,,3,4,2,2,1,23,인천광역시 미추홀구,1,0,1
50,3,4,4,1,4.0,1,"호신용 스프레이, 삼단봉",1,30.0,1,30.0,1,3,2,2,0,27,서울시 서초구,1,0,1
51,3,4,5,1,4.0,1,"호신용 스프레이, 삼단봉, 가스총, 방범용 CCTV",0,,0,,0,3,1,1,1,20,충청북도 청주시 강서구,1,0,1
52,2,2,1,0,,0,(검색해보지 않았다),1,30.0,0,,0,4,0,0,1,20,충북 청주시 서원구,1,0,1
53,2,4,4,0,2.0,0,(검색해보지 않았다),0,,0,,0,4,0,0,1,36,서울시 도봉구,2,0,1
54,2,4,5,1,3.0,0,(검색해보지 않았다),0,,0,,0,2,0,0,1,27,서울 강서구,2,0,1
55,1,3,2,1,3.0,1,"삼단봉, 방검복",0,,0,,1,2,2,1,1,19,충청남도 천안시 서북구,1,0,1
56,2,3,5,1,4.0,1,"호신용 스프레이, 가스총, 방범용 CCTV",0,,0,,0,4,0,0,1,32,서울특별시 강서구,2,0,1
57,3,4,5,1,3.0,1,"호신용 스프레이, 삼단봉, 방검복",0,,0,,1,3,1,2,1,21,서울 용산구,1,0,1
58,3,4,4,0,,0,(검색해보지 않았다),0,,0,,0,4,2,2,0,45,서울시 마포구,2,0,1
59,2,1,3,0,1.0,0,(검색해보지 않았다),0,,0,,0,4,0,0,1,53,서울시 광진구,3,1,1
60,2,3,4,0,2.0,0,(검색해보지 않았다),0,,0,,0,3,1,2,0,29,경상남도 김해시,2,0,0
61,2,3,5,1,4.0,1,"삼단봉, 가스총",0,,0,,2,4,0,1,0,47,인천시. 서구 가좌동,2,1,1
62,3,5,5,0,,1,호신용 스프레이,0,,0,,1,3,0,2,1,24,부산광역시 남구,1,0,1
63,3,3,4,0,,0,(검색해보지 않았다),0,,0,,1,2,2,2,1,35,서울시 강남구,2,0,1
64,2,2,2,0,,0,(검색해보지 않았다),0,,0,,0,3,2,2,0,20,대구광역시 수성구,1,0,1
65,2,4,5,1,3.0,1,"호신용 스프레이, 삼단봉",0,,0,,0,3,1,2,1,21,경기도 용인시 기흥구,1,0,1
66,3,4,5,1,5.0,0,(검색해보지 않았다),0,,0,,2,2,0,0,1,20,서울특별시 노원구,1,0,1
67,2,2,3,0,,1,호신용 스프레이,0,,0,,0,3,0,2,1,21,경기도 부천시,1,0,1
68,3,4,3,0,,0,(검색해보지 않았다),0,,0,,0,1,0,2,1,26,경기도 과천시,2,0,1
69,3,4,2,0,1.0,1,"삼단봉, 방검복",0,,0,,0,4,2,2,0,21,경기도 안성시 공도읍,1,0,1
70,3,5,3,0,1.0,0,(검색해보지 않았다),0,30.0,0,30.0,0,2,2,2,0,38,화성시,2,0,0
71,2,3,3,1,3.0,1,삼단봉,0,21.0,0,21.0,1,4,1,1,0,46,세종시,2,1,1
72,2,2,5,0,,0,(검색해보지 않았다),0,,0,,0,4,0,2,1,21,경기도 고양시,1,0,1
73,3,4,4,0,2.0,0,(검색해보지 않았다),0,,0,,0,2,0,0,1,62,서울시 영등포구 여의도,2,1,1
74,2,1,2,0,,0,(검색해보지 않았다),0,,0,,0,3,0,0,1,32,광주광역시 북구,1,1,1
75,1,1,4,0,,1,호신용 스프레이,0,,0,,0,3,0,1,1,25,서울시강북구미아동,4,0,1
76,3,2,2,1,2.0,0,가스총,0,7.0,0,21.0,2,2,1,2,0,45,인천시 남구 주안동,2,1,1
77,3,4,4,0,2.0,1,호신용 스프레이,1,30.0,1,21.0,0,4,0,0,0,37,서울시 영등포구 여의도동,2,1,1
78,3,4,4,0,3.0,1,삼단봉,0,,0,,0,3,2,2,1,32,울산광역시 동구,2,0,1
79,3,4,4,0,,1,"호신용 스프레이, 삼단봉, 가스총, 방검복",0,,0,,0,4,2,2,1,20,전라북도 익산시,1,0,1
80,3,4,5,1,3.0,1,"호신용 스프레이, 가스총",1,7.0,0,,1,4,2,1,0,38,대전 유성구,2,1,1
81,2,2,2,0,,0,(검색해보지 않았다),0,,0,,1,4,2,0,1,22,서울시 동대문구,1,0,0
82,1,2,3,0,2.0,1,호신용 스프레이,0,,0,,0,3,2,0,1,45,서울구로구,2,1,1
83,3,4,4,0,4.0,1,"호신용 스프레이, 가스총",0,,0,,0,4,2,0,0,56,서울 광진구,2,1,1
84,2,3,4,0,,1,"호신용 스프레이, 스마트워치",1,30.0,0,,1,2,2,2,1,31,서울 관악구,2,0,1
85,3,5,3,1,4.0,1,삼단봉,0,,0,,1,4,2,2,0,25,경기도 수원시 장안구,1,0,1
86,1,4,3,1,3.0,1,"호신용 스프레이, 삼단봉, 경보기",1,21.0,1,21.0,2,3,1,2,0,33,대구 수성구,2,1,1
87,3,3,4,0,,1,"호신용 스프레이, 가스총, 경보기",1,,0,,0,3,1,1,1,30,서울,2,0,1
88,1,3,2,0,1.0,0,(검색해보지 않았다),0,,0,,0,4,0,0,0,51,경남 창원시 의창구,2,1,1
89,3,4,3,1,4.0,0,(검색해보지 않았다),0,,0,,0,4,0,0,1,25,서울 성동구,2,0,0
90,3,4,4,0,3.0,0,(검색해보지 않았다),0,,0,,0,4,2,2,0,38,경남 창원시 의창구,2,1,1
91,2,1,2,1,4.0,1,"호신용 스프레이, 방검복, 방범용 CCTV",0,,0,,0,3,2,2,1,21,인천시 미추홀구,1,0,0
92,2,4,4,1,4.0,1,호신용 스프레이,0,,0,,1,3,0,2,1,22,경기도 용인시 처인구,1,0,1
93,2,3,4,1,2.0,0,(검색해보지 않았다),0,,1,21.0,1,4,2,2,0,31,서울시 관악구,2,0,0
94,3,4,5,1,4.0,1,호신용 스프레이,0,,0,,0,4,0,2,1,26,서울시 서초구,2,0,1
95,2,2,3,0,3.0,0,(검색해보지 않았다),0,,0,,0,3,0,2,1,30,세종,2,0,0
96,2,2,3,0,2.0,0,방검복,0,,1,,2,3,0,1,0,24,가경동,3,0,1
97,2,3,2,0,,0,(검색해보지 않았다),0,,0,,0,4,0,0,1,21,경기도 군포시,1,0,1
98,2,3,5,0,,0,(검색해보지 않았다),0,,0,,2,2,0,0,1,21,서울특별시 관악구,1,0,1
99,2,3,4,1,4.0,1,"호신용 스프레이, 삼단봉, 방검복",1,30.0,0,,2,4,1,1,0,21,대전광역시 서구,1,0,1
100,3,4,4,0,,1,"삼단봉, 방검복",0,,0,,0,4,2,2,0,31,부산광역시 북구,2,1,1
101,3,4,4,1,5.0,0,(검색해보지 않았다),1,30.0,1,30.0,0,4,2,2,0,28,경기도 성남시 분당구,2,0,0
102,3,4,3,1,4.0,1,"호신용 스프레이, 삼단봉",1,21.0,1,21.0,1,4,2,1,0,47,인천시 미추홀구,2,1,1
103,3,4,5,1,5.0,1,호신용 스프레이,1,30.0,1,30.0,0,2,0,0,1,26,서울 은평구,2,0,1
104,2,4,3,0,,0,(검색해보지 않았다),0,,0,,0,1,0,0,1,33,서울시 송파구 방이동,2,0,1
105,3,4,5,1,3.0,1,"호신용 스프레이, 경보기, 방범용 CCTV",0,,0,,0,4,0,2,1,26,경기도 고양시 일산동구,1,0,1
106,3,5,5,1,5.0,1,호신용 스프레이,0,,0,,2,3,0,0,1,43,인천,3,1,1
107,2,3,3,0,,0,(검색해보지 않았다),0,,0,,0,4,2,2,0,24,강원도 원주시,1,0,1
108,2,3,4,1,2.0,0,(검색해보지 않았다),0,,0,,0,2,0,2,1,19,부산광역시 해운대구,1,0,1
109,2,4,2,0,1.0,0,(검색해보지 않았다),0,,0,,0,2,0,2,1,21,인천광역시 연수구,1,0,1
110,3,3,3,1,2.0,1,"호신용 스프레이, 삼단봉",1,7.0,1,21.0,2,4,2,2,0,44,소울,2,0,0
111,2,3,4,0,,1,"호신용 스프레이, 삼단봉",0,,0,,2,2,0,2,1,23,서울 노원구,1,0,0
112,3,5,5,1,5.0,1,"삼단봉, 가스총",1,30.0,1,30.0,0,4,2,2,0,46,경북 구미시,2,1,1
113,2,3,5,0,4.0,1,호신용 스프레이,0,,0,,0,2,0,0,1,54,전남 고흥군,2,0,0
114,2,2,3,0,,0,(검색해보지 않았다),0,,0,,0,3,0,2,0,22,경기도 안산시 상록구,1,0,1
115,3,3,3,0,,0,(검색해보지 않았다),0,,0,,0,2,2,0,1,23,인천광역시 미추홀구,1,0,0
116,2,4,3,1,3.0,0,(검색해보지 않았다),0,,0,,1,2,0,2,0,20,서울시 강남구,1,0,1
117,2,3,5,0,,1,"호신용 스프레이, 삼단봉, 방범용 CCTV",0,,0,,0,1,0,1,1,26,서울 동작구,2,0,0
118,1,2,2,0,,1,방검복,1,30.0,0,,0,1,2,2,0,19,서울특별시 노원구,1,0,0
119,1,3,2,0,2.0,0,삼단봉,0,,0,,0,4,1,1,0,42,대전서구,2,0,0
120,2,2,4,0,,0,(검색해보지 않았다),0,,0,,0,4,0,0,1,29,경남 창원시 마산회원구,4,0,1
121,2,3,3,0,3.0,0,(검색해보지 않았다),0,,0,,0,2,1,2,1,18,경상남도 창원시 마산합포구,0,0,1
122,2,3,4,0,,1,"호신용 스프레이, 삼단봉",0,,0,,0,2,0,0,1,22,경기도 구리시,1,0,1
123,3,4,5,1,4.0,1,삼단봉,0,,0,,1,2,2,1,1,23,인천광역시 부평구,4,0,1
124,3,4,4,1,3.0,1,"호신용 스프레이, 방검복",0,,0,,3,4,1,2,1,24,경기도 의정부시,1,0,1
125,3,3,3,1,3.0,1,가스총,0,,0,,2,3,2,2,0,45,경남 김해시 진영,2,0,0
126,3,2,2,0,3.0,0,호신용 스프레이,1,7.0,1,21.0,1,2,2,1,0,19,서울특별시 서대문구,1,0,1
127,2,3,4,0,,0,(검색해보지 않았다),0,,0,,0,3,0,2,0,26,광주광역시 북구,1,0,1
128,3,1,2,1,2.0,1,가스총,0,,1,21.0,3,2,1,2,1,22,대전시 서구,2,1,0
129,3,5,4,0,4.0,1,"호신용 스프레이, 삼단봉, 가스총, 경보기",0,,0,,2,2,1,1,0,38,서울시 강남구 역삼동,2,0,0
130,2,3,3,0,,1,삼단봉,0,,0,,0,3,2,1,0,21,서울 강서구,1,0,1
131,1,2,4,1,5.0,1,"호신용 스프레이, 삼단봉",0,,0,,0,3,2,2,1,21,청주시 흥덕구,1,0,0
132,3,4,4,0,,1,"호신용 스프레이, 삼단봉",0,,0,,2,3,0,2,1,24,강원도 홍천군,4,0,1
133,3,3,4,0,,0,(검색해보지 않았다),0,,0,,0,3,2,2,1,21,인천 미추홀구,1,0,0
134,2,1,4,0,,0,(검색해보지 않았다),0,,0,,0,4,0,2,1,21,대전시 유성구,1,0,1
135,3,4,5,0,3.0,0,(검색해보지 않았다),0,,0,,0,1,2,2,1,63,서울 용산구,2,0,0
136,2,2,3,0,1.0,0,(검색해보지 않았다),0,,0,,0,3,0,0,0,51,경남 양산시,2,0,1
137,2,3,4,0,,1,호신용 스프레이,0,,0,,1,3,0,0,1,28,충청남도 천안시 서북구,2,0,1
138,3,4,5,1,3.0,1,"호신용 스프레이, 삼단봉, 가스총",0,,0,,2,5,1,1,1,56,경기도 고양시 일산동구,3,1,1
139,2,4,4,0,3.0,1,가스총,0,,0,,0,4,0,2,1,35,경기도 성남시 분당구,2,0,1
140,1,1,3,0,,0,(검색해보지 않았다),0,,0,,1,4,2,2,1,27,경기도 하남시,4,0,1
141,3,3,3,1,1.0,1,"호신용 스프레이, 삼단봉, 경보기",0,,0,,0,3,1,2,1,24,경기도 고양시 일산동구,2,0,1
142,2,1,1,0,1.0,1,"삼단봉, 가스총, 방검복",0,30.0,0,,2,4,2,2,0,23,경기도 시흥시 정왕동,4,0,1
143,2,3,4,0,,0,(검색해보지 않았다),0,,0,,0,4,0,0,0,26,서울시 강남구,4,0,1
144,2,5,5,1,3.0,1,"호신용 스프레이, 가스총, 방범용 CCTV",1,30.0,0,,1,4,2,2,1,25,경기도 남양주시 와부읍,1,0,1
145,2,3,5,0,,0,(검색해보지 않았다),0,,0,,0,3,2,2,1,24,경기도 부천시 소사구,2,0,1
